Lat,Lon,Elv
41.264604600000006,-95.9243304,301.3639526367188
41.264604498917315,-95.9242848374436,301.1953125
41.26457316810778,-95.92406971541784,300.4148864746094
41.264518707874316,-95.92396131024398,299.8815612792969
41.26440780107068,-95.92385300834933,299.0880737304688
41.26427702606794,-95.92387461176995,298.7367553710938
41.2641443076827,-95.9240301591111,299.1586303710938
41.26398298791158,-95.92425419924324,300.1393432617188
41.26382983697162,-95.92451497762839,300.7937316894531
41.2638389920064,-95.92471634572414,301.0430603027344
41.26396974916792,-95.92490877687338,301.2930603027344
41.26414450133916,-95.92511594390838,301.5119323730469
41.26436612850229,-95.92537868302796,301.9147338867188
41.2644821226581,-95.92552777884123,302.1203002929688
41.26453042242358,-95.92564454594975,302.2637939453125
41.26456310621513,-95.9258638973694,301.9170532226562
41.2645659,-95.9258874,301.7823791503906
41.264933087617024,-95.92579478972806,302.5184936523438
41.265212159208744,-95.9257190980442,302.9675903320312
41.26564190152308,-95.92560197846217,302.3779602050781
41.26595468438239,-95.92553356835312,302.0687255859375
41.26647201621309,-95.92545967883308,301.1711730957031
41.2673936986672,-95.92535210800406,300.4519348144531
41.26827721575373,-95.92524164550791,301.425048828125
41.26898249884382,-95.92515371837881,302.3041687011719
41.269539446100595,-95.92509156998808,302.8665466308594
41.27037140712105,-95.92497772767248,302.4509582519531
41.27093794854997,-95.92495404559797,301.8493347167969
41.271458368848066,-95.92494421561256,301.8053283691406
41.27190866068448,-95.92481595741066,302.2156982421875
41.27222075015938,-95.92458565187367,302.6946105957031
41.272498316624606,-95.92456469018855,303.3719177246094
41.2727885,-95.92458239999999,304.0785217285156
41.27312293296637,-95.92351196795804,302.2735900878906
41.27325253158113,-95.92257344834059,301.6372375488281
41.27347128320803,-95.92081754825615,301.8896484375
41.27375660686065,-95.91939901510848,300.7632446289062
41.274029180556326,-95.91863891179214,301.5479736328125
41.2742509463748,-95.91816061835578,302.6364135742188
41.27485170316614,-95.91727953332268,300.6017150878906
41.275504454790315,-95.91660322860076,299.106201171875
41.27654202337641,-95.9155702230516,297.9977416992188
41.27763167045891,-95.91448719647161,298.1400451660156
41.27865584270936,-95.9134681348105,298.1752624511719
41.2797315216382,-95.91240706543695,298.2677612304688
41.28206711794007,-95.91004692558839,296.8594970703125
41.28384038029086,-95.90829507080934,298.0558166503906
41.28478796320561,-95.90735831662863,298.2409362792969
41.28573582560932,-95.90640772297597,298.6151733398438
41.28666917404251,-95.9054551299901,297.9508972167969
41.287300381181396,-95.90482440336775,298.1747436523438
